run_started_at,table,metric,stage,value,notes
2026-08-09T13:55:35.818057+00:00,Region,row_count,raw,7.0,
2026-08-09T13:55:35.818057+00:00,Region,row_count,cleaned,7.0,
2026-08-09T13:55:35.818057+00:00,Region,completeness,cleaning,1.0,
2026-08-09T13:55:35.818057+00:00,Guide,row_count,raw,22.0,
2026-08-09T13:55:35.818057+00:00,Guide,missing_qualifications,cleaning,1.0,"flagged, not imputed — a real data gap worth surfacing"
2026-08-09T13:55:35.818057+00:00,Guide,row_count,cleaned,22.0,
2026-08-09T13:55:35.818057+00:00,Guide,completeness,cleaning,1.0,
2026-08-09T13:55:35.818057+00:00,Route,row_count,raw,53.0,
2026-08-09T13:55:35.818057+00:00,Route,distance_unit_strings_parsed,cleaning,53.0,
2026-08-09T13:55:35.818057+00:00,Route,row_count,cleaned,53.0,
2026-08-09T13:55:35.818057+00:00,Route,completeness,cleaning,1.0,
2026-08-09T13:55:35.818057+00:00,ScheduledTour,row_count,raw,21300.0,
2026-08-09T13:55:35.818057+00:00,ScheduledTour,row_count,cleaned,21300.0,
2026-08-09T13:55:35.818057+00:00,ScheduledTour,completeness,cleaning,1.0,
2026-08-09T13:55:35.818057+00:00,Booking,row_count,raw,28982.0,
2026-08-09T13:55:35.818057+00:00,Booking,malformed_emails_repaired,cleaning,858.0,' at ' -> '@' pattern
2026-08-09T13:55:35.818057+00:00,Booking,total_price_discount_mismatch,cleaning,282.0,
2026-08-09T13:55:35.818057+00:00,Booking,row_count,cleaned,28982.0,
2026-08-09T13:55:35.818057+00:00,Booking,completeness,cleaning,1.0,
2026-08-09T13:55:35.818057+00:00,Payment,row_count,raw,28982.0,
2026-08-09T13:55:35.818057+00:00,Payment,currency_casing_fixed,cleaning,7217.0,
2026-08-09T13:55:35.818057+00:00,Payment,row_count,cleaned,28982.0,
2026-08-09T13:55:35.818057+00:00,Payment,completeness,cleaning,1.0,
2026-08-09T13:55:35.818057+00:00,Region,validation_failures,cleaning,0.0,
2026-08-09T13:55:35.818057+00:00,Guide,validation_failures,cleaning,0.0,
2026-08-09T13:55:35.818057+00:00,Route,validation_failures,cleaning,0.0,
2026-08-09T13:55:35.818057+00:00,ScheduledTour,validation_failures,cleaning,0.0,
2026-08-09T13:55:35.818057+00:00,Booking,validation_failures,cleaning,0.0,
2026-08-09T13:55:35.818057+00:00,Payment,validation_failures,cleaning,0.0,
